시군,코드,측정소명,용도,설치위치,설치연도 ,장비교체연도,x좌표,y좌표
창원시,701,가음정동,공업,LG전자 1공장,1997. 02.,2010. 08.,1107715.428,1691061.788
창원시,702,웅남동,공업,효성 굿스프링스,1999. 06.,2010. 08.,1104641.081,1691550.976
창원시,704,용지동,준주거,용지동 주민센터,2007. 07.,2007. 07.,1107737.77,1694020.448
창원시,705,사파동,주거,사파동 주민센터,2009. 03.,2009. 03.,1109192.444,1692516.072
창원시,711,회원동,주거,회원1동 주민센터,1993. 09.,2016. 07.,1097768.082,1691957.476
창원시,712,봉암동,공업,봉암동 주민센터,1995. 12.,2017. 08.,1100338.001,1691917.383
창원시,731,경화동,주거,병암동 주민센터,1994. 03.,2011. 06.,1108346.43,1685060.012
진주시,721,상봉동,주거,상봉동 주민센터,1995. 07.,2011. 06.,1052352.325,1689401.884
진주시,722,대안동,상업,중소기업은행,1997. 11.,2009. 06.,1053211.808,1688847.924
진주시,723,상대동,공업,한국전력공사 진주지점,2010. 08.,2010. 08.,1056669.407,1687462.934
사천시,781,사천읍,주거,사천읍사무소,2012. 11.,2012. 11.,1053883.448,1676556.182
통영시,784,무전동,상업,무전동 주민센터,2017. 08.,2017. 08,1085230.569,1651796.455
김해시,741,동상동,주거,동상동 주민센터,1995. 07.,2009. 06.,1125898.48,1694369.427
김해시,742,삼방동,주거,신어초등학교,2003. 02.,2014. 10.,1128481.226,1695250.332
거제시,771,아주동,주거,아주보건지소,2011. 06.,2011. 06.,1108855.158,1652874.898
양산시,751,북부동,주거,중앙동 주민센터,1999. 04.,2010. 08.,1140017.964,1706672.505
양산시,752,웅상읍,준주거,웅상 노인복지회관,2004. 12.,2015. 08.,1151809.98,1714470.391
하동군,761,하동읍 ,녹지,하동군청,2007. 08.,2007. 08.,1022917.72,1674725.792
